,F1,aps,context,expID,method,samples,system,thres,wo_length
38,0.5294117647058824,,pathfinder,6,cosine,10,drivetrain,,4
39,0.742857142857143,0.7466964043312929,supervised,6,invite,10,drivetrain,0.19035845502404652,4
40,0.6153846153846153,,unsupervised,6,invite,10,drivetrain,0.04166666666666667,4
41,0.5555555555555556,,pathfinder,6,invite,10,drivetrain,,4
42,0.04905626348318893,0.03295720462485835,supervised,7,cosine,10,aircraft,0.0,4
43,0.03683640303358614,,unsupervised,7,cosine,10,aircraft,0.5,4
44,0.0347394540942928,,pathfinder,7,cosine,10,aircraft,,4
45,0.051437335325809116,0.03751270835743344,supervised,7,invite,10,aircraft,0.0023956372929313306,4
46,0.021240916713247626,,unsupervised,7,invite,10,aircraft,0.01435032426897258,4
47,0.02406417112299465,,pathfinder,7,invite,10,aircraft,,4
48,0.5714285714285713,0.38506341611604766,supervised,8,cosine,10,bicycle,0.9071147352221454,4
49,0.5217391304347826,,unsupervised,8,cosine,10,bicycle,0.8686868686868687,4
50,0.6250000000000001,,pathfinder,8,cosine,10,bicycle,,4
51,0.8648648648648648,0.9327731092436976,supervised,8,invite,10,bicycle,0.19202468170019374,4
52,0.8000000000000002,,unsupervised,8,invite,10,bicycle,0.1111111111111111,4
53,0.7777777777777778,,pathfinder,8,invite,10,bicycle,,4
54,0.631578947368421,0.37417206249112406,supervised,9,cosine,10,drivetrain,0.808290376865476,5
55,0.245398773006135,,unsupervised,9,cosine,10,drivetrain,0.058333333333333334,5
56,0.5714285714285715,,pathfinder,9,cosine,10,drivetrain,,5
57,0.7073170731707318,0.6785100392456263,supervised,9,invite,10,drivetrain,0.13939127215656733,5
58,0.6185567010309277,,unsupervised,9,invite,10,drivetrain,0.044444444444444446,5
59,0.5555555555555556,,pathfinder,9,invite,10,drivetrain,,5
60,0.05285412262156448,0.035161829870358874,supervised,10,cosine,10,aircraft,0.6831300510639732,5
61,0.05285412262156448,,unsupervised,10,cosine,10,aircraft,0.20000142223233586,5
62,0.06280193236714976,,pathfinder,10,cosine,10,aircraft,,5
63,0.049384508187202414,0.04195010779794443,supervised,10,invite,10,aircraft,0.00032640982499624016,5
64,0.02997502081598668,,unsupervised,10,invite,10,aircraft,0.013639208101035385,5
65,0.045454545454545456,,pathfinder,10,invite,10,aircraft,,5
66,0.6,0.362213357677754,supervised,11,cosine,10,bicycle,0.8837879163470618,5
67,0.48648648648648646,,unsupervised,11,cosine,10,bicycle,0.7878787878787878,5
68,0.7777777777777778,,pathfinder,11,cosine,10,bicycle,,5
69,0.9047619047619048,0.945602483816493,supervised,11,invite,10,bicycle,0.029366320432203274,5
70,0.9,,unsupervised,11,invite,10,bicycle,0.050505050505050504,5
71,1.0,,pathfinder,11,invite,10,bicycle,,5
72,0.4799999999999999,0.25122820691645126,supervised,12,cosine,18,drivetrain,0.36689969285267143,2
73,0.4556962025316456,,unsupervised,12,cosine,18,drivetrain,0.14166666666666666,2
74,0.5185185185185185,,pathfinder,12,cosine,18,drivetrain,,2
75,0.2877697841726618,0.17646942211991246,supervised,12,invite,18,drivetrain,0.06461634071906983,2
76,0.0,,unsupervised,12,invite,18,drivetrain,0.538888888888889,2
77,0.2222222222222222,,pathfinder,12,invite,18,drivetrain,,2
78,0.04905626348318893,0.02997938662644545,supervised,13,cosine,18,aircraft,0.0,2
79,0.0,,unsupervised,13,cosine,18,aircraft,1.0,2
80,0.030612244897959186,,pathfinder,13,cosine,18,aircraft,,2
81,0.049277611189163115,0.025887424672825492,supervised,13,invite,18,aircraft,0.001005323116820968,2
82,0.0,,unsupervised,13,invite,18,aircraft,0.5641142337012175,2
83,0.0106951871657754,,pathfinder,13,invite,18,aircraft,,2
84,0.64,0.3833946608946609,supervised,14,cosine,18,bicycle,0.3098898934004561,2
